
;55.;      Indiana Jones and the Raiders of the Lost Ark;(1981);8.4;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;56.;      The Great Dictator;(1940);8.4;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;57.;      The Lives of Others;(2006);8.4;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;58.;      Django Unchained;(2012);8.4;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;59.;      Paths of Glory;(1957);8.4;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;60.;      Sunset Blvd.;(1950);8.4;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;61.;      WALL·E;(2008);8.4;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;62.;      Avengers: Infinity War;(2018);8.4;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;63.;      Witness for the Prosecution;(1957);8.4;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;64.;      The Shining;(1980);8.4;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;65.;      Spider-Man: Into the Spider-Verse;(2018);8.4;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;66.;      Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;(1964);8.4;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;67.;      Princess Mononoke;(1997);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;68.;      Oldboy;(2003);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;69.;      Joker;(2019);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;70.;      Your Name.;(2016);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;71.;      Coco;(2017);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;72.;      The Dark Knight Rises;(2012);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;73.;      Aliens;(1986);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;74.;      Once Upon a Time in America;(1984);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;75.;      Capernaum;(2018);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;76.;      Avengers: Endgame;(2019);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;77.;      Das Boot;(1981);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;78.;      High and Low;(1963);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;79.;      3 Idiots;(2009);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;80.;      Toy Story;(1995);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;81.;      American Beauty;(1999);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;82.;      Amadeus;(1984);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;83.;      Braveheart;(1995);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;84.;      Hamilton;(2020);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;85.;      Inglourious Basterds;(2009);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;86.;      Good Will Hunting;(1997);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;87.;      Star Wars: Episode VI - Return of the Jedi;(1983);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;88.;      2001: A Space Odyssey;(1968);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;89.;      Reservoir Dogs;(1992);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;90.;      M;(1931);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;91.;      Like Stars on Earth;(2007);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;92.;      Vertigo;(1958);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;93.;      Come and See;(1985);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;94.;      Citizen Kane;(1941);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;95.;      The Hunt;(2012);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;96.;      Requiem for a Dream;(2000);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;97.;      Singin' in the Rain;(1952);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;98.;      North by Northwest;(1959);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;99.;      Eternal Sunshine of the Spotless Mind;(2004);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;100.;      Bicycle Thieves;(1948);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;101.;      Ikiru;(1952);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
;102.;      Lawrence of Arabia;(1962);8.3;12345678910 ;;;;NOT YET RELEASED; ;;Seen;
