;estado;cidade;populacao;pib;pib_percapita
4677;ESPIRITO SANTO;Anchieta;20226;2193130.75;108431.2734375
4678;BAHIA;Filadélfia;16215;53721.9609375;3313.10009766
4679;SÃO PAULO;Roseira;9527;240654.0625;25260.2109375
4680;RIO GRANDE DO SUL;Arroio do Meio;19059;527789.875;27692.41992188
4681;PERNAMBUCO;Araçoiaba;17484;54776.1953125;3132.92993164
4682;PARÁ;Igarapé-Miri;57003;156092.75;2738.33007812
4683;BAHIA;Serrolândia;12665;45652.41796875;3604.61010742
4684;PARANÁ;Ribeirão Claro;11246;116140.796875;10327.29980469
4685;MATO GROSSO;Rio Branco;5208;44930.54296875;8627.21972656
4686;PERNAMBUCO;Quipapá;25603;98738.21875;3856.51000977
4687;SÃO PAULO;Tabatinga;14876;163077.953125;10962.49023438
4688;MATO GROSSO;Alto Boa Vista;5475;53055.69140625;9690.54003906
4689;ESPIRITO SANTO;Santa Leopoldina;12743;109372.296875;8582.9296875
4690;SANTA CATARINA;Navegantes;57324;911398.5;15899.0703125
4691;SÃO PAULO;Porto Ferreira;51090;889695.1875;17414.26953125
4692;PARAÍBA;Dona Inês;11142;40716.37109375;3654.31005859
4693;MINAS GERAIS;Pratinha;3435;61587.046875;17929.26953125
4694;PARANÁ;São José da Boa Vista;6320;64582.859375;10218.80957031
4695;MINAS GERAIS;Dom Cavati;5811;28930.48242188;4978.56982422
4696;AMAZONAS;São Gabriel da Cachoeira;41885;202045.265625;4823.81005859
4697;PARANÁ;Moreira Sales;13238;145827.890625;11015.86035156
4698;PARAÍBA;São José do Bonfim;3314;12397.72070312;3741.01000977
4699;TOCANTINS;Piraquê;3127;30794.62890625;9847.98046875
4700;CEARÁ;Crateús;75249;331236.40625;4401.87011719
4701;PERNAMBUCO;Paranatama;12441;52088.41796875;4186.83984375
4702;RIO DE JANEIRO;Cordeiro;19902;199012.96875;9999.65039062
4703;CEARÁ;Campos Sales;26417;98834.7265625;3741.33007812
4704;GOIÁS;Iaciara;12855;82438.8828125;6412.97998047
4705;PARAÍBA;Santa Inês;3834;14049.64453125;3664.48999023
4706;RIO GRANDE DO SUL;Rondinha;5736;82017.515625;14298.73046875
4707;PARANÁ;Mariluz;10861;75293.65625;6932.47998047
4708;RIO GRANDE DO SUL;Lavras do Sul;8399;143841.15625;17125.99023438
4709;SÃO PAULO;Águas de Lindóia;16341;172769.0625;10572.73046875
4710;PIAUÍ;Nossa Senhora de Nazaré;4192;14816.15527344;3534.38989258
4711;GOIÁS;Jaraguá;41772;299434.40625;7168.29980469
4712;BAHIA;Jitaúna;16365;57266.8359375;3499.35009766
4713;RIO GRANDE DO SUL;Paim Filho;4526;53447.82421875;11809.05957031
4714;MINAS GERAIS;Aiuruoca;6210;52582.87109375;8467.45019531
4715;MINAS GERAIS;Felisburgo;7024;32274.11328125;4594.83007812
4716;RIO GRANDE DO SUL;Nova Hartz;17772;323488.78125;18202.16015625
4717;MINAS GERAIS;Conceição da Barra de Minas;4077;27938.48632812;6852.70996094
4718;PARANÁ;Colorado;21789;382881.75;17572.25
4719;MINAS GERAIS;Santa Rita do Sapucaí;36150;597007.375;16514.73046875
4720;BAHIA;Lapão;26616;109688.2421875;4121.14013672
4721;PARAÍBA;Boa Vista;5908;65828.1484375;11142.20019531
4722;MINAS GERAIS;Itabirito;43832;817722.0;18655.8203125
4723;RIO GRANDE DO NORTE;Natal;806203;10369581.0;12862.25
4724;PIAUÍ;Alto Longá;14147;41034.5625;2900.58007812
4725;ESPIRITO SANTO;Domingos Martins;32455;308253.09375;9497.86035156
4726;PERNAMBUCO;São Benedito do Sul;10838;38045.48828125;3510.37988281
4727;PARANÁ;Palmital;15548;107584.8203125;6919.52978516
4728;GOIÁS;Jesúpolis;2296;13104.99804688;5707.75
4729;MINAS GERAIS;Astolfo Dutra;13109;127486.65625;9725.12011719
4730;PARAÍBA;São José de Espinharas;5045;24638.578125;4883.75976562
4731;BAHIA;Anguera;9826;26372.31835938;2683.92993164
4732;GOIÁS;Damianópolis;3678;17035.70117188;4631.77978516
4733;SERGIPE;Ilha das Flores;8906;38105.6328125;4278.64990234
4734;MARANHÃO;Santa Rita;32872;99755.2421875;3034.65991211
4735;BAHIA;Caetanos;12307;30036.10546875;2440.57006836
4736;RIO GRANDE DO SUL;Tupandi;3931;114727.6875;29185.36914062
4737;PARAÍBA;Água Branca;9581;34446.609375;3595.30004883
4738;MARANHÃO;Alcântara;22020;65418.3046875;2970.86010742
4739;BAHIA;Paratinga;29874;96737.9765625;3238.19995117
4740;PIAUÍ;SimõEs;14167;58005.26171875;4094.38989258
4741;SANTA CATARINA;Canelinha;10168;101460.0;9978.36035156
4742;MINAS GERAIS;Divino;20099;106150.0234375;5281.35986328
4743;BAHIA;Floresta Azul;10364;42329.94140625;4084.32006836
4744;MATO GROSSO;Jaciara;25922;382745.5625;14765.28027344
4745;CEARÁ;Pires Ferreira;9857;31351.3984375;3180.62011719
4746;RIO GRANDE DO NORTE;Tibau do Sul;11707;71593.453125;6115.43994141
4747;MARANHÃO;Dom Pedro;22086;79900.609375;3617.69995117
4748;SÃO PAULO;Saltinho;7149;107210.8046875;14996.62011719
4749;MINAS GERAIS;Mato Verde;12957;58693.7109375;4529.87988281
4750;AMAZONAS;São Sebastião do Uatumã;9268;32970.34765625;3557.43994141
4751;MATO GROSSO;Acorizal;5659;51665.796875;9129.84960938
