id;UF;gid;sigla;região
1;ACRE;16;AC;NORTE
1;ALAGOAS;68;AL;NORDESTE
1;AMAPA;131;AP;NORTE
1;AMAZONAS;178;AM;NORTE
1;BAHIA;536;BA;NORDESTE
1;CEARA;676;CE;NORDESTE
1;DISTRITO FEDERAL;916;DF;CENTRO-OESTE
1;ESPIRITO SANTO;879;ES;SUDESTE
1;GOIAS;973;GO;CENTRO-OESTE
1;MARANHAO;1309;MA;NORDESTE
1;MATO GROSSO;1374;MT;CENTRO-OESTE
1;MATO GROSSO DO SUL;1485;MS;CENTRO-OESTE
1;PARA;1561;PA;NORTE
1;PARAIBA;1779;PB;NORDESTE
1;PARANA;2002;PR;SUL
1;PERNAMBUCO;2439;PE;NORDESTE
1;PIAUI;2704;PI;NORDESTE
1;RIO DE JANEIRO;2779;RJ;SUDESTE
1;RIO GRANDE DO NORTE;2890;RN;NORDESTE
1;RIO GRANDE DO SUL;3273;RS;SUL
1;RONDONIA;3473;RO;NORTE
1;RORAIMA;3491;RR;NORTE
1;SANTA CATARINA;3591;SC;SUL
1;SAO PAULO;4361;SP;SUDESTE
1;SERGIPE;4444;SE;NORDESTE
1;TOCANTINS;4606;TO;NORTE
1;MINAS GERAIS;4790;MG;SUDESTE
